a Bíblia;religiao, biblia;9
a Bruxa de 71;tv, chaves, mulheres;5
a bruxa má da Branca de Neve;cinema, mulheres, disney;4
a ciência;ciencia;9
a Fera, de "A Bela e a Fera";cinema, disney;4
a Magali, da "Turma da Mônica";hq, brasil, mulheres;7
a Morte;mitologia;1
A pequena sereia;cinema, mulheres, disney;4
a porca Peppa;tv, desenho, animal, mulheres;5
a Xuxa;tv, brasil, mulheres;5
Adam Sandler;cinema;4
Adolf Hitler;guerra, alemanha, historia;1
Aécio Neves;politica, drogas;2
Aladdin;cinema, disney;4
Albert Einstein;ciencia;1
Alexandre Frota;tv, brasil;5
Alf, o ETeimoso;tv;5
Alfred Hitchcock;cinema;4
Alien, o oitavo passageiro;cinema;4
Amado Batista;musica, brasil;3
Amyr Klink;brasil;1
Ana Maria Braga;tv, brasil, mulheres;5;	
Anderson Silva;esporte, brasil, negros;6
Angela Merkel;politica, mulheres, alemanha;2
Angélica;tv, brasil, mulheres;5
Angelina Jolie;cinema, mulheres;4
Anitta;musica, mulheres, brasil;3
Antonio Fagundes;tv, brasil, religiao;5
Aquaman;hq, dc, heroi;7
Arnold Schwarzenegger;cinema;4
Austin Powers;cinema;4
Axl Rose;musica;3
Ayrton Senna;esporte, brasil;6
Barack Obama;politica, negros;2
Barney, do "How I met your mother";tv;5
Barrabás;biblia, religiao;1
Bart Simpson;tv, simpsons, desenho;5
Batman;hq, dc, heroi;7
Beakman;tv;5
Benedict Cumberbatch;cinema;4
Bento XVI;religiao, alemanha;1
Bilbo Bolseiro;livros, sda, heroi;7
Bill Clinton;politica;2
Bill Gates;computacao, dinheiro, empresas;1
Blanka;games, luta;6
Bob Dylan;musica;3
Bob Esponja;tv, desenho, animal;5
Bond; James Bond;cinema, heroi;4
Bono Vox;musica;3
Boromir;livros, sda;7
Brad Pitt;cinema;4
Britney Spears;musica, mulheres;3
Britto Jr.;tv, brasil;5
Bruce Dickson;musica;3
Bruce Lee;cinema, heroi;4
Bruna Surfistinha;brasil, mulheres, subcelebridades;1
Buzz Lightyear;cinema, disney, heroi;4
C3PO;cinema, starwars, robo;4
Caetano Veloso;musica, brasil;3
Capitão América;hq, marvel, heroi;7
capitão Kirk;tv, heroi;5
Capitão Nascimento;cinema, brasil;4
Carlos Alberto de Nóbrega;tv, brasil;5
Carmen Sandiego;games, mulheres;6
Cascão;hq, brasil;7
Cauby Peixoto;musica, brasil;3
Cebolinha;hq, brasil;7
Chapolin Colorado;tv, chaves, heroi;5
Charlie Brown;hq;7
Charlie Sheen;tv, drogas;5
Chaves;tv, chaves;5
